"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Pakistan Stock Exchange – Important Indicators","31-Dec-2021","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7720","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2021","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","5844.76","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Nov-2021","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","30831.91","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2021","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","45072.38","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2021","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7720","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2021","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","7179.05","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Oct-2021","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","31597.74","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2021","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","46184.71","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2021","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7953","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2021","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","5769","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Sep-2021","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","30668.89","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2021","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","44899.6","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2021","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7804.494083","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2021","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","9585.406","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Aug-2021","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","32394.47","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2021","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","47419.74","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2021","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8290.43","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2021","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","7442.739","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Jul-2021","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","32163.11","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2021","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","47055.29","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2021","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8242.711","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2021","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","9450.21","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Jun-2021","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","32479.82","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2021","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","47356.02","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2021","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8297.305223","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2021","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","20912.146","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-May-2021","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","32238.69","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2021","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","47896.34","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2021","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8267.650223","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2021","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","12465.65","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Apr-2021","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","30018","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2021","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","44262","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2021","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7719","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2021","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","8101.691","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Mar-2021","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","30498","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2021","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","44588","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2021","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7892","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2021","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","10588.817","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","28-Feb-2021","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","31436","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2021","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","45865","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2021","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8207","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2021","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","11973.059","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Jan-2021","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","32062","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2021","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","46386","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2021","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8398","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2021","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","13457.212","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Dec-2020","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","30780","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2020","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","43755","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2020","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8035","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2020","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","11516.889","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Nov-2020","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","28849","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2020","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","41069","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2020","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7554","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2020","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","6533.653","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Oct-2020","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","28186","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2020","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","39888","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2020","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7400","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2020","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","8635.92","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Sep-2020","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","28970","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2020","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","40571","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2020","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7643","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2020","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","13650.743","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Aug-2020","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","28960","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2020","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","41111","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2020","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7650","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2020","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","10581.669","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Jul-2020","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","27559","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2020","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","39258","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2020","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7294","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2020","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","8923.179","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Jun-2020","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","24660","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2020","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","34422","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2020","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6530","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2020","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4941.656","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-May-2020","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","24435","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2020","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","33931","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2020","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6485","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2020","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3519.49","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Apr-2020","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","23938","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2020","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","34112","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2020","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6377","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2020","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4831.77","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Mar-2020","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","21038","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2020","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","29232","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2020","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","5621","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2020","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4843.92","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","29-Feb-2020","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","26289","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","29-Feb-2020","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","37984","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","29-Feb-2020","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7095","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","29-Feb-2020","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3234.64","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Jan-2020","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","29068","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2020","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","41631","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2020","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7851","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2020","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","6136.28","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Dec-2019","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","29012","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2019","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","40735","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2019","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7812","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2019","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","7009.19","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Nov-2019","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","27839","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2019","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","39288","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2019","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7512","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2019","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","6646.26","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Oct-2019","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","24699","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2019","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","34204","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2019","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6690","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2019","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4561.68","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Sep-2019","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","23428","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2019","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","32079","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2019","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6407","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2019","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","2319.12","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Aug-2019","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","22007","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2019","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","29672","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2019","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6082","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2019","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","2218.96","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Jul-2019","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","23119","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2019","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","31938","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2019","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6384","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2019","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","2118.63","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Jun-2019","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","24986","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2019","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","33902","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2019","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6887","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2019","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","2567.71","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-May-2019","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","26155","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2019","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","35975","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2019","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7240","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2019","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","2774.76","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Apr-2019","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","27014","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2019","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","36784","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2019","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7505","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2019","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3293.41","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Mar-2019","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","28279","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2019","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","38649","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2019","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7869","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2019","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","2526.45","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","28-Feb-2019","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","28507","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2019","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","39055","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2019","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7818","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2019","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","2922.59","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Jan-2019","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","29663","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2019","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","40800","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2019","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8124","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2019","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3236.57","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Dec-2018","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","28043","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2018","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","37067","Index","Normal","","20","KSE 100 Index of the last working day of the month."
