"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Pakistan Stock Exchange – Important Indicators","30-Apr-2024","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","46554","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2024","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","71103","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2024","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","9747","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2024","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","9177","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","29-Mar-2024","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","44563","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","29-Mar-2024","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","67005","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","29-Mar-2024","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","9448","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","29-Mar-2024","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","7673","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","29-Feb-2024","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","42841","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","29-Feb-2024","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","64579","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","29-Feb-2024","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","9225","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","29-Feb-2024","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","7190","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Jan-2024","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","41893","Index","Normal","","10","KSE All Index of the last working day of the month."
